diagnosisYear,ageBand,sex,dep,region,stage,route,rate,ciLb,ciUb
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.15,3.1,3.19
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.14,3.1,3.19
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.15,3.1,3.19
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.01,2.96,3.05
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2.7,2.65,2.74
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2.97,2.93,3.02
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2.57,2.53,2.61
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2.45,2.41,2.49
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.31,3.24,3.38
2016,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,26.13,25.9,26.35
2017,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,26.04,25.82,26.27
2018,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,26.4,26.17,26.63
2019,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,26.23,26,26.46
2020,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,25.68,25.46,25.9
2021,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,27.16,26.93,27.39
2022,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,22.52,22.31,22.73
2023,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,22.44,22.23,22.65
allyears,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,28.9,28.26,29.54
2016,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,39.44,39.15,39.72
2017,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,36.06,35.79,36.33
2018,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,37.34,37.07,37.62
2019,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,36.87,36.6,37.14
2020,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,37.55,37.28,37.82
2021,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,39.51,39.23,39.79
2022,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,34.58,34.32,34.84
2023,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,33.34,33.09,33.6
allyears,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,42.29,41.5,43.08
2016,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.67,46.35,47
2017,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.66,46.34,46.98
2018,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.94,46.62,47.26
2019,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.54,45.22,45.85
2020,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.42,44.12,44.73
2021,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,49.75,49.43,50.07
2022,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,40.97,40.68,41.26
2023,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,42.43,42.13,42.72
allyears,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52.37,51.43,53.32
2016,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,50.82,50.49,51.16
2017,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52.04,51.69,52.38
2018,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,50.21,49.88,50.55
2019,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,57.26,56.9,57.63
2020,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,51.04,50.7,51.38
2021,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,58.94,58.58,59.31
2022,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.75,47.42,48.08
2023,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,48.23,47.9,48.56
allyears,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,59.54,58.47,60.6
2016,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52.95,52.59,53.32
2017,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.78,47.45,48.11
2018,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,48.88,48.54,49.21
2019,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,51.61,51.27,51.95
2020,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,50.28,49.95,50.62
2021,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,61.7,61.32,62.08
2022,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,49.53,49.19,49.88
2023,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,48.51,48.17,48.85
allyears,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,58.48,57.39,59.56
2016,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,50.22,49.84,50.6
2017,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.15,43.8,44.5
2018,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.98,45.63,46.33
2019,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,49.75,49.38,50.11
2020,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.8,44.46,45.14
2021,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,55.46,55.09,55.83
2022,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.24,43.91,44.57
2023,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.01,44.68,45.34
allyears,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,55.33,54.13,56.53
2016,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.83,46.43,47.22
2017,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,43.02,42.66,43.39
2018,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,41.03,40.67,41.39
2019,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.31,46.93,47.69
2020,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,39.83,39.48,40.19
2021,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52.06,51.66,52.47
2022,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.14,45.76,46.52
2023,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.88,45.51,46.26
allyears,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52,50.62,53.38
2016,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.37,46.92,47.81
2017,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,36.77,36.39,37.15
2018,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,43.51,43.09,43.92
2019,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,41.66,41.26,42.06
2020,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,38.1,37.71,38.48
2021,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.48,44.06,44.89
2022,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,37.89,37.52,38.27
2023,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,41.01,40.62,41.41
allyears,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.47,45.83,49.11
2016,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,42.02,41.54,42.5
2017,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,38.76,38.3,39.22
2018,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,43.06,42.58,43.55
