diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,90,0.3,0.2,0.3
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,105,0.3,0.2,0.4
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,110,0.3,0.3,0.4
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,90,0.3,0.2,0.3
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,75,0.2,0.2,0.3
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,100,0.3,0.2,0.3
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,95,0.3,0.2,0.3
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,95,0.3,0.2,0.3
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,760,0.3,0.3,0.3
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,10,0,0,0.1
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,20,0.1,0,0.1
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,15,0,0,0.1
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,10,0,0,0
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,10,0,0,0.1
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,65,0,0,0
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,75,0.2,0.2,0.3
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,85,0.2,0.2,0.3
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,95,0.3,0.2,0.3
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,80,0.2,0.2,0.3
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,80,0.2,0.2,0.3
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,415,0.2,0.2,0.2
