id,table,diagnosisYear,ageSpecificIncidenceAge0_49,ageSpecificIncidenceAge50_54,ageSpecificIncidenceAge55_59,ageSpecificIncidenceAge60_64,ageSpecificIncidenceAge65_69,ageSpecificIncidenceAge70_74,ageSpecificIncidenceAge75_79,ageSpecificIncidenceAge80_84,ageSpecificIncidenceAge85_89,ageSpecificIncidenceAge90
1,All Oropharynx,All Years,,,,,,,,,,
2,All Oropharynx,2016,1.0538726,11.386243,15.928187,16.88859,15.072286,11.716344,9.2982025,6.0950274,5.1175489,2.6647754
3,All Oropharynx,2017,0.98891664,11.427298,14.779258,17.208153,15.253765,11.692724,8.2785082,5.9344301,3.2291701,3.4319584
4,All Oropharynx,2018,0.97075802,12.087974,16.744413,18.934507,15.782549,12.246153,9.7169657,6.9925365,4.4436913,4.0058002
5,All Oropharynx,2019,1.0157875,12.702899,16.476145,19.395168,19.253628,13.513136,10.652923,7.6140003,3.8514438,3.2864656
6,All Oropharynx,2020,0.95927346,12.297149,17.496225,17.817394,18.013033,14.650159,10.027774,5.192801,4.8248239,3.6463642
7,All Oropharynx,2021,0.89210594,12.197927,18.179264,21.290998,21.071289,17.967466,12.962292,8.7540665,5.7096491,5.5718951
8,All Oropharynx,2022,0.78419888,10.368463,14.983985,17.153055,17.173084,13.567765,9.3841057,7.8710933,3.5069466,4.2723422
9,All Oropharynx,2023,0.77855712,9.9757175,15.112713,18.296593,18.167135,14.401539,11.252803,8.1910563,5.6500807,5.4375267
10,,,,,,,,,,,,
11,Male,All Years,,,,,,,,,,
12,Male,2016,1.4839094,18.309433,25.92164,26.312035,23.120161,18.02285,15.462074,10.098952,9.8760862,4.0710812
13,Male,2017,1.5008985,18.247297,23.641863,26.646164,24.063042,18.018763,12.871165,9.4190283,3.639313,5.8693867
14,Male,2018,1.3133304,18.286659,25.953474,29.032686,25.177832,19.456831,14.808122,11.848078,7.4000545,6.3376174
15,Male,2019,1.4131485,19.429728,26.540817,29.406593,31.322359,20.969933,16.175394,12.822437,6.1843991,6.0156164
16,Male,2020,1.4337113,18.748186,27.27035,27.423473,27.499678,22.894371,15.122977,7.6558065,5.6086206,4.7184277
17,Male,2021,1.2701111,18.499817,28.686504,33.356445,34.511169,28.337297,20.759169,14.327832,9.2065639,11.604896
18,Male,2022,1.114151,15.699823,23.112009,26.527914,26.801655,21.491016,14.734702,11.738198,5.6294947,5.3193688
19,Male,2023,1.1254622,15.167626,22.48311,28.680399,28.982367,23.07707,16.901569,11.4519,8.4442425,6.501451
20,,,,,,,,,,,,
21,Female,All Years,,,,,,,,,,
22,Female,2016,0.61449558,4.6392784,6.1502743,7.8293967,7.4929056,5.9492993,4.0280352,3.0217831,2.1308291,2.0560117
23,Female,2017,0.46549916,4.7837157,6.1196575,8.0893946,6.9487495,5.8373504,4.2836308,3.1529293,2.9549236,2.3398244
24,Female,2018,0.62022978,6.0526247,7.7699161,9.1696796,6.938467,5.5838265,5.2602558,3.0927086,2.4315054,2.9283607
25,Female,2019,0.60880798,6.1533394,6.6880159,9.7187195,7.8695693,6.6421332,5.7974272,3.4103765,2.2321429,1.9940804
26,Female,2020,0.47182724,6.0164237,8.0139112,8.5458574,9.0495443,7.0770226,5.5380378,3.2062168,4.2751703,3.129276
27,Female,2021,0.51684773,6.0926666,8.0235224,9.5989437,8.3213177,8.490736,6.0807199,4.2740622,3.2447517,2.6361344
