quarter_year,survival,ci_lb,ci_ub,sex,dep,region,route,stage_cat,agegrp,diagnosisyear
0,1,1,1,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.89999998,.88999999,.91000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.81999999,.81999999,.82999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.76999998,.75999999,.76999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.72000003,.70999998,.73000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.68000001,.67000002,.69,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.64999998,.63999999,.66000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.63,.62,.63999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.60000002,.58999997,.61000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.57999998,.56999999,.58999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.56999999,.56,.57999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.55000001,.54000002,.56,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.54000002,.52999997,.55000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.51999998,.50999999,.52999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.50999999,.5,.51999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.5,.49000001,.50999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.49000001,.47999999,.5,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.47999999,.47,.49000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.47,.46000001,.47999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.47,.46000001,.47999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.46000001,.44999999,.47,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.88999999,.88,.89999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.81,.80000001,.81999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.75,.74000001,.75999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.69999999,.69,.70999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.66000003,.64999998,.67000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.63,.62,.63999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.60000002,.58999997,.61000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.56999999,.56,.58999997,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.55000001,.54000002,.56,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.52999997,.51999998,.54000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.50999999,.5,.51999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.49000001,.47999999,.50999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.47999999,.47,.49000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.47,.46000001,.47999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.46000001,.44,.47,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.44999999,.44,.46000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.44,.43000001,.44999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.43000001,.41,.44,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.41999999,.41,.43000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.41,.40000001,.43000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.91000003,.91000003,.92000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.83999997,.82999998,.85000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.79000002,.77999997,.80000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.75,.74000001,.76999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.72000003,.70999998,.74000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.69999999,.68000001,.70999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.67000002,.66000003,.69,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.66000003,.63999999,.67000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.63999999,.63,.66000003,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.63,.61000001,.64999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.62,.61000001,.63999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.61000001,.58999997,.62,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.60000002,.57999998,.61000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.57999998,.56999999,.60000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.56999999,.55000001,.58999997,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.56999999,.55000001,.57999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.56,.54000002,.57999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.55000001,.54000002,.56999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.52999997,.56999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.54000002,.52999997,.56,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.25,.88,.86000001,.88999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.5,.79000002,.76999998,.80000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.75,.72000003,.69999999,.74000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1,.66000003,.63999999,.68000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.63,.61000001,.63999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.60000002,.57999998,.62,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.56999999,.55000001,.58999997,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2,.55000001,.52999997,.56999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.52999997,.50999999,.55000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.50999999,.49000001,.52999997,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.5,.47999999,.51999998,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3,.47999999,.46000001,.5,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.47,.44999999,.49000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.46000001,.44,.47999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.44999999,.43000001,.47,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4,.44,.41999999,.46000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.43000001,.41,.44999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.41,.38999999,.44,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.41,.38999999,.43000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
