diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,360,1.0,0.9,1.1,`x'_incidence
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,390,1.1,1.0,1.2,`x'_incidence
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,345,1.0,0.9,1.1,`x'_incidence
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,320,0.9,0.8,1.0,`x'_incidence
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,285,0.8,0.7,0.9,`x'_incidence
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,335,1.0,0.8,1.1,`x'_incidence
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,275,0.8,0.7,0.9,`x'_incidence
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,275,0.8,0.7,0.9,`x'_incidence
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2585,1.0,1.0,1.1,
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,20,0.1,0.0,0.1,rtd_emergency
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,20,0.1,0.0,0.1,rtd_emergency
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,20,0.1,0.0,0.1,rtd_emergency
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,rtd_emergency
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,rtd_emergency
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,rtd_emergency
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,15,0.0,0.0,0.1,rtd_emergency
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,25,0.1,0.0,0.1,rtd_emergency
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,100,0.0,0.0,0.1,
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,330,0.9,0.8,1.0,rtd_non_emergency
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,360,1.0,0.9,1.1,rtd_non_emergency
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,305,0.9,0.8,1.0,rtd_non_emergency
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,rtd_non_emergency
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,rtd_non_emergency
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,rtd_non_emergency
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,255,0.7,0.6,0.8,rtd_non_emergency
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,240,0.7,0.6,0.8,rtd_non_emergency
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,1490,0.6,0.6,0.6,
2016,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,200,0.6,0.5,0.6,stage_early
2017,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,195,0.6,0.5,0.6,stage_early
2018,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,170,0.5,0.4,0.6,stage_early
2019,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,145,0.4,0.3,0.5,stage_early
2020,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,115,0.3,0.3,0.4,stage_early
