quarterYear,survival,ciLb,ciUb,sex,dep,region,route,stage,ageBand,diagnosisYear
0,1,1,1,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.93000001,.94,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.87,.87,.88,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81,.81,.81999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.76999998,.75999999,.76999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.73000002,.72000003,.74000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.69999999,.69,.70999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.68000001,.67000002,.68000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.66000003,.64999998,.66000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.63999999,.63,.63999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.62,.62,.63,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.61000001,.60000002,.62,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.60000002,.58999997,.60000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.58999997,.57999998,.60000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.57999998,.56999999,.58999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.56999999,.56,.57999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.56,.55000001,.56,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.54000002,.54000002,.55000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.52999997,.52999997,.54000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.52999997,.51999998,.52999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.51999998,.50999999,.52999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.93000001,.94,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.87,.86000001,.87,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81,.80000001,.81,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.75999999,.75,.76999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.72000003,.70999998,.73000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.69,.68000001,.69999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.67000002,.66000003,.67000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.63999999,.63,.64999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.62,.61000001,.63,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.61000001,.60000002,.62,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.60000002,.58999997,.61000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.57999998,.56999999,.58999997,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.56999999,.56,.57999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.56,.55000001,.56999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.55000001,.54000002,.56,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.54000002,.52999997,.55000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.52999997,.51999998,.54000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.51999998,.50999999,.52999997,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.50999999,.5,.51999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
